account_name,pe_firm_count,pe_firms,pe_firm_ids,any_multi_sector_sponsor,any_current,website,sources,company_url,wikipedia_url
Pluralsight,1,Vista Equity Partners,vista-equity,no,yes,,official_site|wikipedia,https://www.vistaequitypartners.com/company/pluralsight/,https://en.wikipedia.org/wiki/Pluralsight
PointClickCare,1,Hellman & Friedman,hellman-friedman,no,yes,,official_site,https://hf.com/portfolio/pointclickcare/,
Poppulo,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/poppulo/,
Populous,1,Providence Equity Partners,providence-equity,yes,yes,,official_site,,
Portside,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/portside/,
Power Factors,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/power-factors/,
Power Products,1,Genstar Capital,genstar-capital,yes,yes,,official_site,,
Power-One,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/power-one/,
PowerSchool,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/powerschool/,
PRA International,1,Genstar Capital,genstar-capital,yes,yes,,official_site,,
Pretium Packaging,1,Genstar Capital,genstar-capital,yes,yes,,official_site,,
PrimeSense,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/primesense/,
Procure Analytics,1,Genstar Capital,genstar-capital,yes,yes,,official_site,,
Prometheus Group,1,Genstar Capital,genstar-capital,yes,yes,,official_site,,
PropLogix,1,Accel-KKR,accel-kkr,no,yes,https://lltrck.com,official_site,https://www.accel-kkr.com/portfolio-company/proplogix/,
ProService,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/proservice/,
ProSiebenSat.1 Media AG,1,Hellman & Friedman,hellman-friedman,no,yes,,official_site,https://hf.com/portfolio/prosiebensat-1-media-ag/,
Qualtrics,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/qualtrics/,
Quartex,1,Accel-KKR,accel-kkr,no,yes,https://quartexsoftware.com,official_site,https://www.accel-kkr.com/portfolio-company/quartex/,
Quickbase,1,Vista Equity Partners,vista-equity,no,yes,,official_site|wikipedia,https://www.vistaequitypartners.com/company/quick-base/,https://en.wikipedia.org/wiki/Quickbase
Quorum Software,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/quorum-software/,
RAC,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/rac/,
RadarFirst,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/radarfirst/,
Reapit,1,Accel-KKR,accel-kkr,no,yes,https://lltrck.com,official_site,https://www.accel-kkr.com/portfolio-company/reapit/,
Recurly,1,Accel-KKR,accel-kkr,no,yes,https://recurly.com,geig_article|official_site,https://www.accel-kkr.com/portfolio-company/recurly/,
Red Ventures,1,Silver Lake,silver-lake,no,yes,,official_site|wikipedia,https://www.silverlake.com/portfolio/red-ventures/,https://en.wikipedia.org/wiki/Red_Ventures
Redwood Software,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/redwood-software/,
REG Technologies,1,Accel-KKR,accel-kkr,no,yes,https://reg.uk.com,official_site,https://www.accel-kkr.com/portfolio-company/reg-technologies/,
Regulatory DataCorp,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/rdc/,
Relativity,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/relativity/,
Reliance Retail,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/reliance-retail/,
Relias Learning,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/relias-learning-llc/,
Renaissance Learning,1,Hellman & Friedman,hellman-friedman,no,yes,,official_site,https://hf.com/portfolio/renaissance-learning-inc/,
Renovate America,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/renovate-america/,
Residex,1,Accel-KKR,accel-kkr,no,yes,https://lltrck.com,official_site,https://www.accel-kkr.com/portfolio-company/residex/,
Resilinc,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/resilinc/,
Return Path,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/return-path/,
Reynolds & Reynolds,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/reynoldsandreynolds/,
RiskExec,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/riskexec/,
Riverstone Networks,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/riverstone/,
Rock-It,1,Providence Equity Partners,providence-equity,yes,yes,,official_site,,
RollKall,1,Vista Equity Partners,vista-equity,no,yes,,official_site,https://www.vistaequitypartners.com/company/rollkall/,
Root,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/root/,
Sabre,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/sabre/,
Safe-Guard,1,Hellman & Friedman,hellman-friedman,no,yes,,official_site,https://hf.com/portfolio/safe-guard/,
Safeguard Global,1,Accel-KKR,accel-kkr,no,yes,https://www.safeguardglobal.com,official_site,https://www.accel-kkr.com/portfolio-company/safeguard-global/,
