account_name,pe_firm_count,pe_firms,pe_firm_ids,any_multi_sector_sponsor,sources,company_url,wikipedia_url
Reynolds & Reynolds,1,Vista Equity Partners,vista-equity,no,official_site,https://www.vistaequitypartners.com/company/reynoldsandreynolds/,
Rhapsody,1,Hg,hg,no,official_site,,
Ri Happy,1,Carlyle,carlyle,yes,wikipedia,https://en.wikipedia.org/wiki/Ri_Happy,https://en.wikipedia.org/wiki/Ri_Happy
Rigaku,1,Carlyle,carlyle,yes,wikipedia,https://en.wikipedia.org/wiki/Rigaku,https://en.wikipedia.org/wiki/Rigaku
RightSide,1,Spectrum Equity,spectrum-equity,no,official_site,,
Rightsline,1,Hg,hg,no,official_site,,
Riot-E,1,Carlyle,carlyle,yes,wikipedia,https://en.wikipedia.org/wiki/Riot-E,https://en.wikipedia.org/wiki/Riot-E
RiseSmart,1,Accel-KKR,accel-kkr,no,official_site,,
RiskExec,1,Vista Equity Partners,vista-equity,no,official_site,https://www.vistaequitypartners.com/company/riskexec/,
RiskMetrics,1,Spectrum Equity,spectrum-equity,no,official_site,,
Riskonnect,1,Thoma Bravo,thoma-bravo,no,official_site,,
Ritchies Transport,1,KKR,kkr,yes,wikipedia,https://en.wikipedia.org/wiki/Ritchies_Transport,https://en.wikipedia.org/wiki/Ritchies_Transport
Riverbed,1,Thoma Bravo,thoma-bravo,no,official_site,,
Riverbed Technology,1,Thoma Bravo,thoma-bravo,no,wikipedia,https://en.wikipedia.org/wiki/Riverbed_Technology,https://en.wikipedia.org/wiki/Riverbed_Technology
Riverstone Networks,1,Silver Lake,silver-lake,no,official_site,https://www.silverlake.com/portfolio/riverstone/,
RJR Nabisco,1,KKR,kkr,yes,wikipedia,https://en.wikipedia.org/wiki/RJR_Nabisco,https://en.wikipedia.org/wiki/RJR_Nabisco
Roadnet,1,Thoma Bravo,thoma-bravo,no,official_site,,
Rock-It,1,Providence Equity Partners,providence-equity,yes,official_site,,
Rodenstock GmbH,1,Permira,permira,yes,wikipedia,https://en.wikipedia.org/wiki/Rodenstock_GmbH,https://en.wikipedia.org/wiki/Rodenstock_GmbH
Rolfe & Nolan,1,Hg,hg,no,official_site,,
RollKall,1,Vista Equity Partners,vista-equity,no,official_site,https://www.vistaequitypartners.com/company/rollkall/,
Root,1,Silver Lake,silver-lake,no,official_site,https://www.silverlake.com/portfolio/root/,
Rover,1,Spectrum Equity,spectrum-equity,no,official_site,,
Rover (American company),1,Blackstone,blackstone,yes,wikipedia,https://en.wikipedia.org/wiki/Rover_%28American_company%29,https://en.wikipedia.org/wiki/Rover_%28American_company%29
Rural Metro,1,Warburg Pincus,warburg-pincus,yes,wikipedia,https://en.wikipedia.org/wiki/Rural_Metro,https://en.wikipedia.org/wiki/Rural_Metro
RxVantage,1,Spectrum Equity,spectrum-equity,no,official_site,,
Saber,1,Accel-KKR,accel-kkr,no,official_site,,
