account_name,pe_firm,pe_firm_id,pe_hq_city,pe_hq_region,pe_list_role,pe_multi_sector,investment_status,description,region,strategy,website,sources,source_urls,company_url,wikipedia_url,firm_portfolio_url
Ness Digital Engineering,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Ness_Digital_Engineering,https://en.wikipedia.org/wiki/Ness_Digital_Engineering,https://en.wikipedia.org/wiki/Ness_Digital_Engineering,https://www.kkr.com/
Nexon,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Nexon,https://en.wikipedia.org/wiki/Nexon,https://en.wikipedia.org/wiki/Nexon,https://www.kkr.com/
Nielsen Holdings,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Nielsen_Holdings,https://en.wikipedia.org/wiki/Nielsen_Holdings,https://en.wikipedia.org/wiki/Nielsen_Holdings,https://www.kkr.com/
Nielsen Media Research,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Nielsen_Media_Research,https://en.wikipedia.org/wiki/Nielsen_Media_Research,https://en.wikipedia.org/wiki/Nielsen_Media_Research,https://www.kkr.com/
NXP Semiconductors,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/NXP_Semiconductors,https://en.wikipedia.org/wiki/NXP_Semiconductors,https://en.wikipedia.org/wiki/NXP_Semiconductors,https://www.kkr.com/
Oasis Shopping Centre,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Oasis_Shopping_Centre,https://en.wikipedia.org/wiki/Oasis_Shopping_Centre,https://en.wikipedia.org/wiki/Oasis_Shopping_Centre,https://www.kkr.com/
Optiv,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Optiv,https://en.wikipedia.org/wiki/Optiv,https://en.wikipedia.org/wiki/Optiv,https://www.kkr.com/
Oriental Brewery,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Oriental_Brewery,https://en.wikipedia.org/wiki/Oriental_Brewery,https://en.wikipedia.org/wiki/Oriental_Brewery,https://www.kkr.com/
OutSystems,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/OutSystems,https://en.wikipedia.org/wiki/OutSystems,https://en.wikipedia.org/wiki/OutSystems,https://www.kkr.com/
OverDrive,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/OverDrive%2C_Inc.,https://en.wikipedia.org/wiki/OverDrive%2C_Inc.,https://en.wikipedia.org/wiki/OverDrive%2C_Inc.,https://www.kkr.com/
OVHcloud,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/OVHcloud,https://en.wikipedia.org/wiki/OVHcloud,https://en.wikipedia.org/wiki/OVHcloud,https://www.kkr.com/
PanAmSat,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/PanAmSat,https://en.wikipedia.org/wiki/PanAmSat,https://en.wikipedia.org/wiki/PanAmSat,https://www.kkr.com/
Paramount Skydance,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Paramount_Skydance,https://en.wikipedia.org/wiki/Paramount_Skydance,https://en.wikipedia.org/wiki/Paramount_Skydance,https://www.kkr.com/
Pepper Money,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Pepper_Money,https://en.wikipedia.org/wiki/Pepper_Money,https://en.wikipedia.org/wiki/Pepper_Money,https://www.kkr.com/
Pets at Home,KKR,kkr,New York,New York,honorable_mention,yes,unknown,,,,,wikipedia,https://en.wikipedia.org/wiki/Pets_at_Home,https://en.wikipedia.org/wiki/Pets_at_Home,https://en.wikipedia.org/wiki/Pets_at_Home,https://www.kkr.com/
